scenario,lambda,mu_nurse,mu_doctor,correlation,s_nurse_max,s_doctor_max,Tmax,nurse_price,doctor_price,optimal_nurses,optimal_doctors,queue_nurses,queue_doctors,system_total_time,queue_total_time,patient_loss,queue_patient_loss,hospital_overload,queue_failure
correlated_service,19.313731067278965,7.134223918634637,3.269800891442479,0.35737944315302594,10,8,21.812835329371914,112.33889797118611,381.014506727076,3,6,3,6,15.442383674667695,15.442383674667695,0.0,0.0,0.0,0.0
correlated_service,20.59635374388199,7.086632327162375,2.787969545539498,0.34791444068316685,10,8,21.703589397024906,72.95773455211729,385.76241254235856,3,8,3,8,13.451434387813059,13.451434387813059,0.0,0.0,0.0,0.0
correlated_service,20.10506511290709,6.077125921660265,3.626597040997661,0.46271983638295167,8,6,32.498066958080344,75.06349167285961,278.889590421771,4,6,4,6,3.704455969678015,3.704455969678015,0.0,0.0,0.0,0.0
correlated_service,17.151379776368863,5.380248589248332,2.7624620016879997,0.31144478542212184,6,7,19.859356393529893,87.48925976749315,323.058684874003,4,7,4,7,2.410464551754467,2.410464551754467,0.0,0.0,0.0,0.0
correlated_service,16.072083137334374,4.072324356469566,3.3944403877126987,0.3963581150496327,4,8,39.25490881848508,90.5737143574462,469.12742244874687,4,5,4,5,25.510710808316976,25.510710808316976,0.0,0.0,0.0,0.0
correlated_service,15.92659580049124,6.946257087289652,2.405011599860755,0.6960233158572235,10,7,35.904744833643804,72.51680186678901,443.14485066923305,3,7,3,7,4.636523608300277,4.636523608300277,0.0,0.0,0.0,0.0
correlated_service,26.207709984393063,6.98708189519968,3.8843145053446295,0.31401924512506835,6,8,27.459553679212064,81.99678781069386,455.63564247241493,4,7,4,7,8.338682587329243,8.338682587329243,0.0,0.0,0.0,0.0
correlated_service,13.652124486572234,5.4685145865555,3.1949425129762137,0.5890761785071741,6,7,37.03405076859049,77.00341138079075,392.18593464656783,3,5,3,5,3.460065429886594,3.460065429886594,0.0,0.0,0.0,0.0
correlated_service,13.02344369309639,5.074535462717169,3.2988105130428935,0.6870258095757099,4,8,28.319518378929395,71.50921635792373,314.41502361772837,3,4,3,4,26.587776097124195,26.587776097124195,0.0,0.0,0.0,0.0
correlated_service,24.688171096328652,4.438409650863026,3.941464160648349,0.6325112754418225,7,8,37.05680527375979,98.07681797829865,467.3522673974802,6,7,6,7,4.113189997912418,4.113189997912418,0.0,0.0,0.0,0.0
correlated_service,15.920320562450733,5.540980138622893,3.764738011532033,0.35249295450604723,6,6,20.36888948874164,124.70767667096985,357.15809062099294,3,5,3,5,9.75325042412228,9.75325042412228,0.0,0.0,0.0,0.0
correlated_service,12.769032412269594,5.714145045454819,2.6509154760182625,0.3438645282757978,5,7,36.928357395839924,109.46170991243706,327.8173647297556,3,5,3,5,7.110766994119824,7.110766994119824,0.0,0.0,0.0,0.0
correlated_service,24.82399818629562,5.060961340199741,3.6919495578377646,0.39742452709994786,6,7,25.99017725607798,124.78184994071812,299.0647534456699,5,7,5,7,15.87670362350421,15.87670362350421,0.0,0.0,0.0,0.0
correlated_service,27.175583086683307,4.613715706780438,3.8899920294553736,0.5029014999510937,10,8,34.759439139297406,83.29352364813721,457.7649295906929,6,8,6,8,11.704020294200753,11.704020294200753,0.0,0.0,0.0,0.0
correlated_service,19.367374241964747,7.689415583947887,3.0232797609250444,0.35621110059526684,10,8,21.146053742678525,87.48357448639786,326.31945096263325,3,7,3,7,3.6793714373191038,3.6793714373191038,0.0,0.0,0.0,0.0
correlated_service,13.985934594422078,5.5290725611440354,3.203768404514932,0.6848793642316532,4,8,31.375045785686098,104.4674925341655,338.2814777569657,3,5,3,5,3.9867237643378366,3.9867237643378366,0.0,0.0,0.0,0.0
correlated_service,18.306727410931487,5.269727428292223,2.3720324347910458,0.504589612420667,4,8,31.09687402998093,96.11492441636022,312.56852881646944,4,8,4,8,6.175200922477103,6.175200922477103,0.0,0.0,0.0,0.0
correlated_service,12.333913255817325,5.9495019849770125,3.120872874812299,0.6379560130172025,6,6,18.233547889363486,86.72648041646038,462.6396610876549,3,5,3,5,1.9039165455775247,1.9039165455775247,0.0,0.0,0.0,0.0
correlated_service,12.337958411531671,4.023441617843309,2.3989564979401825,0.678227814439595,10,7,29.61335293625924,111.84521748102523,413.3846896993697,4,6,4,6,2.5278004642878584,2.5278004642878584,0.0,0.0,0.0,0.0
correlated_service,14.49071955498766,7.202281415120162,3.8782630587159375,0.4937853078723563,4,4,26.82650319091959,83.20519800067844,288.30686762702373,3,4,3,4,4.917834274658118,4.917834274658118,0.0,0.0,0.0,0.0
correlated_service,12.638033936259571,7.683166438031071,3.8795749333223553,0.41354243851682887,5,5,25.417091969846553,104.26628019166984,327.1304079738702,2,4,2,4,3.8656470969084125,3.8656470969084125,0.0,0.0,0.0,0.0
correlated_service,12.66731489014746,4.600136504018327,3.594971526884943,0.5745058193414769,7,7,32.33763319230826,111.84046583310808,457.75235217083434,3,4,3,4,6.782663581423205,6.782663581423205,0.0,0.0,0.0,0.0
correlated_service,12.185791828185245,7.729352108061139,3.290445007659052,0.3194231962353875,4,8,23.138271377834165,99.14470406253633,431.11336445646793,2,4,2,4,5.536065353625519,5.536065353625519,0.0,0.0,0.0,0.0
